YEAR;MO;DY;ALLSKY_SFC_SW_DIFF;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_SFC_SW_DNI;ALLSKY_KT;ALLSKY_SFC_LW_DWN;T2MDEW;T2MWET;TS;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS50M;ALLSKY_SFC_UV_INDEX;ALLSKY_SFC_PAR_TOT
2015;1;1;21.794;42.163;7.657;23.887;0.42;78.518;14.46;15.82;17.75;12.38;85.38;1.78;83.83;1.93;2.85;3.43;2.03;19.188
2015;1;2;18.437;33.823;74.887;16.294;0.34;81.696;14.5;15.72;17.55;12.37;87.05;1.07;83.87;1.86;2.84;3.3;1.68;15.667
2015;1;3;19.157;33.982;74.748;1.59;0.34;81.036;14.26;15.19;16.64;12.17;89.48;2.74;83.87;1.97;2.78;3.53;1.65;1.536
2015;1;4;16.519;25.997;7.506;0.5729;0.26;81.823;13.24;14.41;16.05;11.36;86.59;5.42;83.95;2.02;2.91;3.72;1.38;12.166
2015;1;5;18.482;32.407;75.629;13.418;0.32;79.944;13.55;14.9;16.96;11.62;85.31;2.4;83.92;1.95;2.64;3.36;1.58;14.746
2015;1;6;17.714;34.901;75.221;2.208;0.35;81.679;13.97;15.17;17.04;11.96;86.92;1.94;83.88;1.93;2.76;3.33;1.66;1.561
2015;1;7;18.307;36.132;76.058;22.862;0.36;81.218;13.17;14.62;16.79;11.34;84.23;0.21;83.78;1.82;2.56;3.18;1.77;16.512
2015;1;8;18.924;42.466;74.887;32.618;0.42;7.859;13.7;15.05;17.01;11.76;84.71;15.22;83.78;1.46;2.1;2.81;1.93;18.962
2015;1;9;16.358;25.781;70.834;0.7978;0.25;85.301;14.03;15.11;16.8;11.99;88.02;6.28;83.86;1.6;2.07;2.8;1.27;12.226
2015;1;10;15.854;25.903;71.954;0.6384;0.26;80.412;13.85;15.19;17.14;11.86;85.39;2.58;83.91;2.11;2.9;3.77;1.3;11.986
2015;1;11;17.122;31.154;74.143;15.444;0.31;80.506;13.56;15.03;17.03;11.64;83.43;4.73;83.9;2.03;2.4;3.82;1.55;14.534
2015;1;12;20.326;39.662;72.667;22.954;0.39;7.74;14.33;16.0;18.32;12.27;82.21;2.51;83.85;1.75;2.5;3.12;1.75;1.769
2015;1;13;19.994;37.428;75.041;22.934;0.37;77.693;14.91;16.25;17.97;12.77;85.45;10.95;83.8;1.82;2.49;3.14;1.75;16.963
2015;1;14;22.097;51.228;77.174;39.036;0.5;78.641;16.09;17.2;18.85;13.78;88.35;16.98;83.78;1.64;2.52;2.75;2.34;22.932
2015;1;15;23.549;49.651;76.805;36.382;0.49;74.345;16.57;17.65;19.21;14.18;88.66;2.26;83.87;1.4;1.91;2.41;2.3;22.327
2015;1;16;22.181;49.001;75.312;33.528;0.48;77.126;14.82;16.44;18.36;12.66;82.49;2.23;83.92;1.88;3.38;3.22;2.34;22.265
2015;1;17;21.996;4.218;76.428;2.155;0.41;76.639;14.44;16.56;19.01;12.51;77.73;12.43;83.82;1.58;2.43;2.7;2.11;19.135
2015;1;18;20.294;29.184;75.686;0.6209;0.29;79.565;16.11;17.04;17.89;13.75;89.55;14.39;83.86;1.88;3.87;3.13;1.5;1.345
2015;1;19;19.858;33.144;75.797;12.821;0.32;79.154;15.51;16.68;18.21;13.27;87.31;6.14;83.8;1.54;3.03;2.7;1.71;15.226
2015;1;20;19.246;27.715;7.099;0.3134;0.27;80.357;15.59;16.37;17.5;13.3;91.23;16.52;83.79;1.75;3.01;2.98;1.36;1.277
2015;1;21;2.112;31.613;74.558;0.8621;0.31;78.811;14.3;15.63;17.02;12.22;85.19;10.6;83.86;1.68;2.47;2.49;1.55;14.498
2015;1;22;27.862;3.827;73.762;0.4685;0.37;79.766;13.92;14.9;16.12;11.89;89.0;17.06;83.93;1.29;2.07;2.13;1.83;17.431
2015;1;23;17.318;28.142;76.013;0.6204;0.27;78.974;14.3;16.01;17.83;12.32;82.06;15.14;83.85;1.82;2.78;2.71;1.37;13.073
2015;1;24;24.763;39.566;76.704;11.304;0.38;77.887;15.81;16.57;17.62;13.48;91.63;6.21;83.82;1.16;1.71;1.85;1.85;1.765
2015;1;25;2.034;3.984;75.132;20.225;0.39;77.357;15.15;16.29;17.51;12.93;87.45;5.48;83.71;1.31;2.25;1.87;1.82;1.825
2015;1;26;22.687;38.436;73.867;16.769;0.37;75.713;15.65;16.76;18.0;13.41;87.7;6.61;83.71;1.89;3.1;3.1;1.72;17.306
2015;1;27;18.089;3.197;74.146;11.234;0.31;80.693;15.65;16.73;17.98;13.34;88.04;16.24;83.8;1.64;3.17;2.8;1.57;15.005
2015;1;28;21.293;37.474;7.543;1.691;0.36;75.398;15.79;16.87;18.59;13.48;88.58;7.63;83.75;1.83;3.07;3.21;1.73;16.879
2015;1;29;16.651;24.986;7.501;0.7594;0.24;78.631;15.53;16.55;18.1;13.26;88.78;10.22;83.74;1.52;2.8;2.74;1.29;11.587
2015;1;30;19.757;29.616;76.241;0.7128;0.29;82.783;15.89;16.95;18.56;13.56;88.81;8.69;83.78;1.55;2.74;2.53;1.52;13.572
2015;1;31;19.411;29.772;77.842;0.6473;0.29;7.975;15.64;16.51;17.96;13.32;90.44;9.03;83.86;1.52;2.77;2.45;1.62;13.778
2015;2;1;19.044;31.613;76.678;11.609;0.3;7.59;14.45;15.58;17.52;12.32;87.82;19.79;83.94;1.22;1.76;1.99;1.54;14.597
2015;2;2;19.397;35.398;74.923;16.944;0.34;73.584;14.15;15.15;16.74;12.07;88.93;15.29;84.0;1.45;2.1;2.59;1.66;16.082
2015;2;3;19.438;37.294;7.375;18.218;0.36;76.392;13.08;14.27;15.96;11.26;86.21;7.26;83.94;1.84;2.35;3.32;1.81;17.112
2015;2;4;20.683;42.154;77.822;27.852;0.41;76.553;14.87;16.04;17.82;12.7;87.12;7.33;83.77;1.82;2.47;3.21;2.11;19.164
2015;2;5;20.311;42.758;77.568;2.843;0.41;77.762;15.5;16.76;18.52;13.26;86.64;4.95;83.76;1.94;2.93;3.19;2.03;19.505
2015;2;6;22.814;48.715;77.784;32.683;0.47;76.073;15.96;17.13;18.72;13.64;87.43;10.16;83.76;1.8;2.98;3.14;2.28;21.878
2015;2;7;23.302;35.693;77.597;0.8534;0.34;8.041;14.17;15.65;17.27;12.28;83.72;4.44;83.73;1.85;3.54;3.19;1.77;16.171
2015;2;8;22.704;35.539;7.482;0.577;0.34;78.883;15.34;16.48;17.7;13.15;87.33;13.72;83.78;1.58;2.81;2.66;1.73;16.147
2015;2;9;2.195;40.795;77.659;20.484;0.39;76.886;16.33;17.4;18.48;13.99;88.04;20.93;83.72;1.51;3.41;2.38;1.93;18.439
2015;2;10;21.782;42.468;77.808;23.806;0.41;7.751;16.56;17.19;17.87;14.16;92.79;7.17;83.73;1.48;3.48;2.47;2.04;19.176
2015;2;11;23.184;40.236;78.629;13.786;0.38;77.326;15.35;16.75;18.54;13.08;85.08;0.72;83.85;1.49;2.68;2.24;1.96;17.964
2015;2;12;20.664;36.115;75.749;14.278;0.34;80.117;15.72;16.8;18.35;13.36;88.23;0.76;83.97;1.43;2.86;2.26;1.81;16.656
2015;2;13;21.989;39.845;7.807;18.202;0.38;76.447;15.41;16.12;17.16;13.1;91.93;20.35;84.0;1.22;2.1;2.17;2.03;17.779
2015;2;14;21.898;38.722;77.422;11.062;0.37;79.188;15.67;16.49;17.6;13.34;90.82;17.54;83.92;1.32;2.91;2.34;2.02;17.561
2015;2;15;2.285;34.709;76.956;0.7788;0.33;80.491;15.04;15.84;16.92;12.81;91.01;3.74;83.88;1.29;2.45;2.26;1.76;16.034
2015;2;16;20.957;47.851;78.458;35.314;0.46;75.187;14.56;16.14;18.13;12.47;82.87;0.23;83.8;1.76;2.27;3.03;2.26;2.148
2015;2;17;29.294;55.478;78.132;2.549;0.53;74.628;15.97;17.12;18.53;13.64;87.55;0.04;83.79;1.36;2.06;2.38;2.43;24.377
